Name,Comment,Time,Likes
SunFlower State of Mind,Why dont they just merge like pink and Victoria's secret??,2019-10-03T09:19:20Z,0
NannyDiaries23,Gap= overpriced wardrobe essentials,2019-10-03T07:22:25Z,0
Nat L,"“the younger liberal baby boomers” 
Wait what",2019-10-01T11:54:47Z,339
everyday adventures,😂😂,2020-11-23T15:19:18Z,1
VexXI •,"Taley I disagree.. it should be: if you’re conservative when you’re young, you still have room to grow, if you’re conservative when you’re old, you don’t have a brain",2020-10-02T00:00:14Z,6
bob smith,They should’ve said free spirited. Now people will think they all were politically liberal and their parents politically conservative. Clearly they’re talking about lifestyle.,2020-03-22T21:53:31Z,5
Taley,"The phrase rings true... If you’re not liberal when you’re young, you don’t have a heart. If you’re not conservative when you’re old, you don’t have a brain.",2019-12-13T01:26:48Z,10
ThankTheLord,@Mila R baby boomers were born between 1946-1964,2019-12-12T21:16:46Z,6
dollillaz,Nat L who do you think the hippies of the 60s/70s were? they grew up into the boomers we know now,2019-12-12T05:32:52Z,26
R Bartx,"Put in context. They may be considered conservatives by our standards, but their parents were born in the 1900-1930s (i don’t know the actual dates for the “greatest generation” lol) & were going to be much more conservative — Jim Crow, emancipation of women, etc. were recent or current events. Also, people tend to lean more conservative as they age.",2019-12-05T15:34:23Z,48
Alejandra C H,"Lmao yeah,I was surprised too.",2019-11-29T02:25:03Z,4
AvaMasquerade,Right?!,2019-11-13T10:46:00Z,1
Mila R,"Nat L people born in the 1940s and 50s were baby boomers. They were young, hip and cool in the 60s and 70s. Now they’re just senior citizens",2019-10-21T23:09:10Z,72
Belinda Y,"gap ceo just come in and read the most ""like"" comments. those r as helpful as professional advices.",2019-09-21T13:55:28Z,0
Madison County Sound Labs,“” you mean we’re just a couple of white people?! “”,2019-09-11T18:15:40Z,0
Boss Blaque,I loved banana republic. They have been closing stores. I can't wear gap or old navy clothes to work.,2019-09-11T18:00:01Z,0
Joey Baseball,I hate clothes.,2019-09-08T02:03:47Z,0
SevenDeMagnus,So sad,2019-09-07T07:21:09Z,0
Marvin Olvera,I love the Gap,2019-09-04T15:04:35Z,0
Sean Simsim,I hope old navy will come here in HK,2019-09-04T08:25:48Z,0
seminole Rick,NEVER shopped in 1... was not a slave to ‘style’ prices...,2019-09-03T09:34:46Z,0
Smile A Mile,Never bought GAP clothing. Expensive and massive letters that were ugly. Names was ugly too.,2019-08-30T23:26:21Z,0
Illuminati,"Everyone in the comments thinking they're marketing experts, why don't you become the CEO of Gap and do everything you propose?",2019-08-30T07:43:04Z,2
Nery Fuentes,I thought GAP had gone bankrupt lol,2019-08-24T15:17:35Z,0
Sophie Bock,Hahhaaha the first time I’ve heard the baby boomers as young and liberal lmfao,2019-08-24T05:10:30Z,0
latengocomoburro,"Gap is not that cheap anymore, that is why they are failing. I once went to buy a pair of khakis for work and they were so expensive that I never went back and haven't gone back ever since.",2019-08-23T17:18:12Z,1
KtG,The real issue is that their pricing is the same as American Eagle but AE has better quality and more stocked sizes in store. Which maybe gap should take a lesson from old navy and actually stock more than 1 pair in sizes past 6.,2019-08-21T23:56:54Z,0
Simply 40,I use to work for the Gap when I was a senior in high school.  It was so popular back then (1998). Now I think there is so much competition and trendy cheap fashion that makes it hard for them to compete.,2019-08-21T16:32:29Z,1
CrazyBeautiful,I don't really shop at GAP much but I think if they were smart and still want to make money like Old Navy they would make some newer looking clothes or try and make things like Forever 21.,2019-08-21T05:31:43Z,0
M Laker,I think also it was the price of their clothes mixed with boringness.. my mid 2000s wardrobe was all h&m bc they were interesting and cheap! 24.99-35.99 for pants. . 12.99-29.99 for tops. Old Navy was like 50 bucks for a dumb shirt. I'm speaking from a 2008 experience.,2019-08-17T15:39:01Z,0
Ray,I have a light weight Jersey cardigan from Old Navy from 2007! Still in great shape and works with anything.  But I also haven't shopped there since.....,2019-08-16T06:40:12Z,3
Me,Did they really just zoom in on that guy’s bulge at 2:08? 🙈😂😂😂😂,2019-08-15T15:56:01Z,0
Ton-Ché Jackson,We have an H&M where our GAP used to be in our mall and I would rather much have the GAP back.  😰,2019-08-15T09:01:41Z,4
Bsergiov,"Get a new design team, people with fresh ideas. Every year is the same colors,patterns and designs.",2019-08-14T10:46:48Z,0
Sylvia Park,The only memory I have of GAP is seeing GAP in the mall but my mother always saying they're to expensive... :/,2019-08-12T14:47:29Z,0
KO,"Why do people say, “the gap”",2019-08-12T06:06:12Z,1
Vet Doc,Remember Zuckerberg in the old GAPhoody? Long time ago.....,2019-08-07T15:47:20Z,1
John Iii,I don’t think I would look good in a Britney crop top,2019-08-07T02:19:35Z,0
αlissα,I think the 1969 looking Gap would do pretty well in 2019. Definitely looks like something that would attract Gen Z.,2019-08-05T21:44:50Z,155
SoCal Indi,"I agree. When i saw the original storefront I'm like that is what they need to do revamp all stores to go nostalgic. Sell only vinyl, cassettes, and Levi's.",2019-12-05T12:38:10Z,23
I K,"When I started high school, wearing gap hoodies were a thing because they were expensive.(It was 4 years ago and gap is considered a luxury brand in my country because of its price tag. I’m not sure but I think they left the country.)",2019-08-04T12:02:36Z,1
Aaa,ABG Neal bringing it back cuh,2019-08-04T01:00:50Z,1
mk toohtwo,"I have to admit, I’m loving the slow and agonizing death of retail. All the corporate strategies and stock market hopes and dreams are never going to save it either. Retailers are trying so hard to recapture their former relevance as they circle the drain, but the truth is...it’s over for all of them. It’s just a matter of time.",2019-08-03T07:43:45Z,7
Beast from the East,I used to shop at gap and old navy.  I get my clothes from Costco now.  You can get a jeans for $12 at Costco and their shirts are cheap too.,2019-08-02T15:17:44Z,0
christy nichole manuel,"Wow i only get old navy,gap and banana republic at “ukay-ukay” shops here in the philippines 😂😂😂 im so poor",2019-08-01T02:50:11Z,1
henergy,You aren't missing anything special with gap.,2021-01-31T07:33:55Z,0
TexasDragon 1995,"""Be better than the GAP""",2019-07-31T21:16:57Z,0
heyJustephan,10 years ago when I enterd for the first time a GAP store I felt like I enterd the 90s. I left buying nothing and never turned back.,2019-07-31T04:36:16Z,1
Big Seb19,Gap outlet is life,2019-07-29T16:19:27Z,0
Bob Bulat,I for one am glad these slavers will go under,2019-07-29T15:55:56Z,0
Sammy D.,Guy @2:07 is packing 😝,2019-07-27T23:32:58Z,1
Caitlin Mah-Soeung,"Gaps clothing is too basic for the younger generation, no one wants GAP emblazoned on their chest except for my mom... I know it’s ‘their style’ but keeping the same design for 10+ years is a bit of a stretch- if they want to make that trendy agin maybe stop making it for 30 odd years then if their revenue increases bring it back as a ‘vintage’ or ‘throwback’ item and see if social media picks up on it",2019-07-27T03:19:18Z,0
Lonee Bazemore,"They need an early teen option. After my daughter turned 13 she was super bummed she couldn’t fit anything but leggings from the kids section. The women’s side is a bit boring for her. We’ve moved on from their children’s clothes. So now we’re trying figure things out. A&F, old navy, justice, north face and Nike are our go to. But she’d prefer something girlie with matching shirts/pants and accessories. Good quality and long lasting.",2019-07-26T08:05:26Z,1
Laura Brooks,Horrible voice computer generated voice prints when people talk. And that financial analyst guy. I can't understand a word he was saying,2019-07-25T17:56:56Z,0
Bob Bowie,Too expense for what you get.,2019-07-21T19:08:02Z,0
ruzzell907,Uniqlo is the go-to place for good clothes now.,2019-07-21T02:53:30Z,0
Jorge Castro,If champions can turn things around then so can the gap.,2019-07-19T02:18:26Z,0
laurel jade,Love Gap but their stuff is a little stale and overpriced (but you get some diamonds in the rough).,2019-07-17T19:00:38Z,1
David Mecatron,"I'll tell what they need: adds,adds and more adds, specialy in  movies and vlogers from youtube. People buy what you tell them to buy, that simple.",2019-07-17T15:36:50Z,0
Sacshell Polk,they never have your size. check the website. they lost a lot of customers because of that.,2019-07-10T10:42:59Z,0
De Cnijf Kris,tune's good,2019-07-09T20:58:15Z,0
De Cnijf Kris,It can't be the fault of the friendly vendors though,2019-07-09T20:54:22Z,1
Clarence M,Where are people going to buy classic pieces of clothing? Like straight leg jeans? lol,2019-07-09T04:17:15Z,0
NachoRidesBikes,how can you say a company that makes 16b a year is struggling?? haha it makes no sense that's  the opposite of struggling,2019-07-06T23:57:56Z,0
profsca,"1. The Gap doesn’t carry plus sizes. 2. Their clothes are boring, all solid pastel and neutral colors.",2019-07-04T16:39:37Z,0
egypt thompson,Stop making clothes just navy blue and maroon,2019-07-02T18:38:35Z,0
Envisaged RDV,"Whenever I saw kids wondering around on Parisian streets with big letters GAP on their sweaters, I knew immediately they were tourists from the US.",2019-06-28T03:13:56Z,1
David Mecatron,That's the idea.,2019-07-17T15:38:53Z,0
Through Reflection,"Like any retail company, and having worked for them, they rely so much on people signing up for the credit cards associated with the store. Its really smart analytics because people tend to carry balances on their credit cards and the company makes money from interest rates. You'd be amazed the amount of pressure they put on associates to sell the credit cards and how much talk about them everyday you'd hear, ""sell, sell, sell those credit cards."" Was working for the Gap brand horrible? Not necessarily but the store that I worked at was highly unorganized and the backrooms made it impossible to find items.",2019-06-27T21:16:29Z,0
The Matadore,It's sad but the store display feels like a second-hand store warehouse now and the employees look and act like exhausted single-moms (no hate to single moms you kinda get the image though). Don't get me started on trying to check out without being held up to sell you on that God-forsaken GapCard. Everything about it feels drab and tired and annoying.,2019-06-26T00:30:21Z,0
rob1248996,"When GAP discontinued Levis, I discontinued GAP. I just didn't like their jeans.",2019-06-25T20:48:25Z,0
Marvin Olvera,I love the Gap,2019-06-24T18:59:27Z,0
Niklas,"There‘s a hole in your hoodie!
Oh wait it‘s just a gap",2019-06-24T18:41:27Z,0
Circle,2:08 *DAYYUUMMM THAT BULGE*,2019-06-24T14:29:30Z,3
Jim The EDC Guy,"Forget GAP, how about CHASM??",2019-06-23T15:43:50Z,0
Thots_Be_Gone,Why did they show his bulge at 2:08,2019-06-23T02:23:38Z,0
elfowlkes,“Fall into the GAP.”,2019-06-23T01:24:51Z,2
stayseaLY,I love Gap and have shopped there since the 80s.,2019-06-22T19:38:43Z,1
Thomas ling,written malaysia twice...lol,2019-06-22T09:12:19Z,0
fresc007,"Also, the quality don’t match their prices. At least that is why I stopped buying at Gap lingo ago. And Banana Republic and Old Navy, this last one was specially bad quality",2019-06-21T19:41:31Z,0
Doan Trinh,"When they got hot and heavy with Banana Republic, they started to adopt the pricing of Banana Republic. Old Navy is like the old Gap but it’s so cheeky and literally catered to Mom’s buying clothes for their kids two weeks before school starts. Gap needs to get back to it’s roots - cool neutral design, reasonably priced, and easy going.",2019-06-21T17:47:43Z,0
Jerry N.,"Gap is very basic, but vintage edgy fashion is in style right now I feel like. It's kinda ironic.",2019-06-21T17:20:06Z,0
Tu Nguyen,70$ per jean no ty,2019-06-21T13:25:05Z,0
Mekka Abdul,Fail to keep up with today’s fashion,2019-06-20T17:15:47Z,0
Practical climber,"If the CEO of Gap read these comments and listened, the sales would come back.",2019-06-20T10:50:52Z,0
VAULT-TEC,"Good and interesting content, but you need a less robotic narrator.",2019-06-19T16:38:09Z,0
Billy Leung,Uniqlo kills it cause it’s quality 👌,2019-06-19T05:00:57Z,3
LCalvertJD,"that's because the quality of the banana republic and GAP products has dropped, I don't shop there anymore, if you buy a GAP t-shirt it lasts two washes and then starts to pill",2019-06-16T14:52:26Z,0
gavrilo pricip,I visited the States and went to old Navy And was so excited by the deals.....till I went to try the clothes on and a Small there was an extra large in Europe!! I bought from the kids section (I’m 35),2019-06-15T19:26:06Z,0
QuietStormX,In History you can see the GOP are bad for the Public and Businesses the like for them. Effects you pay to lower too.. ;-(,2019-06-14T15:59:12Z,0
Alan,I found GAP style outdated since 2007 and their price are expensive for those outdated style and quality,2019-06-13T03:30:29Z,0
houchi69,2:08 That's some serious camel toe...,2019-06-12T22:27:31Z,0
houchi69,2:08 That's some serious bulge...,2019-06-12T22:27:17Z,3
houchi69,I haven't bought any of those brands in like more than 20 years...,2019-06-12T22:25:55Z,0
Grim Reaper,"Too expensive.
Too white.
Last time I bought something from the GAP may have been when I was in high school. That was +15 years ago. The only brand worth something is Old Navy. Banana Republic is garbage too. Too expensive. Not worth it.",2019-06-12T21:40:46Z,1
Michael Tobin,"The separation of GAP and Old Navy was supposed to happen in 2001, the separation was started and was brought almost brought to conclusion except the GAP wasn't paying contractors.  GAP would have failed by the end of 2001 so they stopped the separation because they needed the money.  Banana Republic was failing as was GAP unlike what this article states",2019-06-12T18:11:15Z,0
Magnelan1,"I think that the main gap problem is their quality. I remember my mom used to buy it for me and my brother because it was clidren resistant and easy to wash. It used to have a certain quality. I still have some of these old items, they are used up but how many times was it used? Nowadays gap items just reach that state after a few washing. Nowadays and with vintage clothing being fashionable, people see how much of a waste of money it is. If casual clothing is not good quality ot looks lame. people don't want to look lama. Why does not gap slow down a little on fast fashionning, and be more reasonable? It wood be good for their image, and therefore for their buisness.",2019-06-12T08:49:09Z,0
Christopher Ashford,"Wait. you mean, no Banana Republic stores in Central and South America?",2019-06-12T00:07:01Z,0
Rodney G The Immortal,Mickey Drexler A.K.A.  George Costanza,2019-06-11T22:36:06Z,0
Wasabi Kawasaki,Abg Neal just bought bought -Gap,2019-06-11T11:08:15Z,0
Yt Yt,They need more managers like Chris Farley in drag,2019-06-11T06:48:45Z,0
Andre Crespo,This voice is so annoying!,2019-06-11T01:56:00Z,0
New York 123,ABG NEAL FOR GAP !,2019-06-10T15:43:24Z,0
kathurtado13,"So what it means is that old navy inc will be the only survivor. 

☹😢 sad, I love BR and Gap.",2019-06-09T03:54:02Z,1
Lucas Moreno,Overpriced junk.,2019-06-08T17:46:15Z,0
Gambit771,"First I heard of gap was in the late 2000's.
Haven't heard of the other companies until now.",2019-06-06T18:39:00Z,0
Jimpot Cuteboi,Thats a big GAP,2019-06-04T10:45:00Z,0
Yap Gim Kwee,The gap stores in my cities have gone missing.,2019-06-04T06:59:58Z,0
Ademir Francisco Pasinato,bruh in my school here in brazil lots of people still wear gap jackets,2019-06-04T02:04:24Z,0
cbracamonte,Lets blame Britney,2019-06-03T11:57:51Z,0
Bach YouTube,"The idiots managing Gap risk canceled my $860 order for no real reason and simply lost the sales. Assuming this what happened to another 10,000 users, that’s a loss of many millions for idiotic recruitment of corrupted KYC and online fraud services. It’s just a question of time before GAP is fully bankrupt.",2019-06-02T13:14:51Z,0
ottomated,Did everyone forget the horrific gap logo that came out in 2010?,2019-06-02T12:33:13Z,0
santiago carreño,2:08 someone has a huge one,2019-06-02T08:38:28Z,2
Ryan,Malaysia..twice? lol,2019-06-01T11:29:18Z,1
640,2:08 damn that guy has some serious junk in the frunk.,2019-05-31T20:09:54Z,3
VuqarIE,"beside the design, quality also sucks",2019-05-31T01:46:23Z,0
Zoch Buppet,"Why Gap is dying:
1. Didn't change the idiotic ""advertise free for me"", label branding on everything from the late 80's and 90's when the whole market was already changing by 2001, and absolutely no one was doing it. 



2. FAST FASHION.  GAP clothing was higher quality, and the stuff was made to last, but it was more expensive
Enter the mid 2000's and H & M, fast fashion and manufactured in China and Bangladesh for 1/4 the price that LOOKS similar to the higher quality clothes.



Yes I will buy that $60 clothing item when I get a similar item for 25. Most people wouldn't do that, even if the quality was much better.",2019-05-30T02:33:50Z,0
Zoch Buppet,"Who the BALD  DRUNK  GUY, that keeps interrupting. I'm cant even understand anything he's saying.",2019-05-30T02:00:57Z,0
Oneway DAZLG,Gap is the worse name brand anybody can wear that is trying to be on trend its like waking up from a coma after 25 years wearing your same gap sweater.,2019-05-29T08:09:57Z,0
libertango,"I was buying a lot clothes for my young son from Gap. But they lost me with their kids/boys winter jackets that constantly shed feathers on the sweater even before washing. As I had to buy a new jacket year after year, I grew tired of picking up feathers after feathers. I switched to Ralf Laurent or later Guess when my son grew in size. They are more expensive but the difference in quality was huge.",2019-05-28T02:27:09Z,0
Sublime Music Channel,"GAP, Old Navy, and Banana--three crappy store brands I've never been able to attach to. Their relentless--actually remorseless--marketing girl ass as a way of luring customers has also never been a draw to me, but rather a turnoff. Creepy.",2019-05-27T19:58:38Z,0
N J,Jim Cramer is a gross human and a terrible orator. Who thought that it would improve this video to have him deliver short lines of dialogue that the primary narrator could have delivered much better?,2019-05-26T06:43:51Z,0
sniper60605,"I bought some cool button up dress shirts from there in the mid 2000’s. The kind you could wear out on a Saturday night to somewhere cool. Not the light blue, pink, tired crap but cool white shirts with material that had a cool texture. Never saw anything like them since. Sad.",2019-05-25T04:01:08Z,0
MuffinREpic,I work at G.a.p and trust me they are over price even with employee discounts which is 50% off it is still overpriced. I know quality and trust me uniqlo practically have the same quality to even better but way lower price.,2019-05-25T02:25:24Z,1
Iche,The Rise And Fall of ZIP,2019-05-23T09:53:59Z,0
y miller,Too expensive and unfashionable,2019-05-23T00:45:46Z,0
y miller,No one wants to wear a gap T-shirt,2019-05-23T00:45:17Z,0
toonmag50,"Who cares about a high street retail chain who spends pennies in Pakistan and sells for pounds in the UK?
What genuine positive thing do these shops actually do apart from make their owners rich.?",2019-05-21T16:02:09Z,0
Akshay Joshi,Well the quality is worst!,2019-05-18T17:26:59Z,0
Gus Marquez,"Get rid of that big ass “GAP” logo on every shirt, and shrink it down then maybe people would shop for the material",2019-05-15T23:20:36Z,0
swat is quantum,"I can get well tested/washed, better quality and cheaper priced clothes at my local thrift stores here in SoCal. We don’t need more clothes. Less",2019-05-15T15:05:53Z,0
Princess Zelda,I grew up in clothes from GAP. This might break my mom's heart.,2019-05-14T23:21:34Z,0
Sunni L,"Their style never changed, if they want to target the young people of 2019 they need to conform to some of the newer trends.",2019-05-14T15:56:22Z,0
Jason,"Hill City isn't going to save them.  $128 for a Men's ""Everyday"" pant and $78 for an ""Everyday"" short are placing premium prices on a nonexistent brand.  Can't imagine buying this stuff at those price points.  Let the deep discounting begin!",2019-05-13T05:58:20Z,0
Jj,"When the originators of Banana Republic sold out, the decline started. Have seen this sort of event consistently over my lifetime when the founder sells: Celestial Seasonings (tea), Starbucks (ok, so he returned), etc. Whole Foods also has undergone huge changes, and Bezos needs to be careful with how he develops the deli counters. Already see a lot of chemical stabilizers in the prepared wrapped sandwiches. The same story when the new owner announces, ""Everything shall remain the same."" The first thing that happens is either fires or forces out those with deep knowledge of what works in the industry. Yeah, right, nothing changes. I see monumental mistakes in WF, the biggest being huge inventories, huge floor space, and huge rent. If that does not sound familiar try this one: Sears. Rent is always the killer in any and all businesses, and doctors are not immune. Feel the burn.",2019-05-11T15:43:21Z,0
Dichotomy & Balance,"I felt problems with the company when no one talked about GAP anymore and Banana Republic's quality had been dropping to levels below J.Crew Factory, which sells online and their predictable 40% sales told you never to buy full price and even then it was over priced. Haven't bought a thing from BR since.",2019-05-11T14:34:25Z,0
leyuen,maybe if they didn't sell cheap ass clothes that are overpriced. Also some new styles would be nice.,2019-05-10T13:21:18Z,0
TricolorTexasSPFC,"They totally missed the generation move... gap generation became parents, and kids and parents starting buying Abercrombie, American Eagle,  and other contemporary brands...",2019-05-09T19:19:04Z,0
Serge the Blerge,Baby Boomers. The most despicable generation of all time. In that case I hope the gap dies.,2019-05-06T03:54:23Z,0
Jon Ultime,GAP is the exact opposite of cool,2019-05-05T21:02:18Z,0
Gaurav Jaina,People got to know they do child labour,2019-05-03T17:24:56Z,0
MericanSport,"It's the selling practices that have these companies dying off. How do you expect to sell at a profit when one week their selling at regular price and then the next week those same items are selling for 70 percent off or they come out with a coupon that's like half off. They could just sell at the cheaper price all the time. Also, the quality of the clothing now is real flimsy and cheap making it pretty stupid to spend a lot of money on a wardrobe from one of those place. JCPenney also has the same problem. This new generation growing up don't really put up with that BS and resort to buying things online to avoid the hassle.",2019-04-28T19:49:53Z,0
Toasty Volvo,I love Gap so much. I can’t afford it. 😭 yet old navy is garbage and falls apart. I’m a conundrum.,2019-04-28T00:42:54Z,2
Jamil Gotcher,Gap is having a really good sale right now.,2020-12-16T05:43:57Z,0
Kayla Schregardus,GAP is basically over priced Old Navy.,2019-04-27T21:52:59Z,2
sicilianotoronto,I didn’t know ex CEO of Shoppers was CEO of Gap for a while. I think I bought a few t-shirts at Gap like 2 years ago. I would purchase more at Old Navy but I don’t like their quality.,2019-04-26T23:41:42Z,0
Scar Michael the First,Did GAP make clothes or just sell?,2019-04-26T11:44:12Z,0
Madison Chanchi Hang,"yo these vids and topics are on point.
keep it up my friends",2019-04-25T07:57:41Z,2
David,I like gap. For the first time I bought two shirts and one pants. Gap has a clean look. Then I bought one banana republic pants and I was thinking wow this is some nice quality pants. No wonder it’s expensive. Maybe gap is losing business because now we know what casual clothing style looks like and there’s other companies doing that too.,2019-04-23T07:32:02Z,1
Gabi Fuller,Maybe they shouldn’t put their logo on everything.,2019-04-22T18:05:12Z,0
AuH2O,"How ironic that the most boring and unfashionable middle-of-the-road clothes chain I can think of started out as a ""hip"" alternative to old farts.",2019-04-22T17:07:03Z,0
Dashia James,"I love H&M better than the Gap, BR( Banana Republic) and old navy. Its seems as if Gap & Oldnavy makes the same thing almost every year. Seems as if H&M makes and has new styles almost every year. Also seems as different brand names invest in H&M...!! Knowing what I know now, it's soooo interesting about Gap....!! And what's going on...!!",2019-04-21T21:17:39Z,0
Eric Wedderspoon,Gap needs to make their clothes more robust again as i remember when i was a kid - i'd be there in a heartbeat,2019-04-21T16:36:02Z,0
Eric Wedderspoon,"i bought a vintage Gap rain jacket, its is very well made with sturdy materials! loooooovvvvvveeeee it",2019-04-21T16:37:24Z,0
Eric Wedderspoon,Banana Republic is the worest,2019-04-21T16:28:30Z,0
Sarah James,I’ve never shopped at GAP half of the reason was price and then the other part was I don’t need GAP across my chest.,2019-04-20T23:01:16Z,0
Max Gorden,*Company Man would like to know your location*,2019-04-20T12:27:10Z,7
Horror Tackle Harry,"8:00 ""The company hasn't yet released its 2019 earnings...""  Hmm, I wonder why?!",2019-04-20T07:44:54Z,1
Carlos Davis,I'd hate to be that guy but did anybody else see I saw?   2:08,2019-04-20T03:40:07Z,0
Frank M.,"Figure fitting Ath-Leisure in the age of value ignorant, overweight consumers obsessed with sausage casing (yoga pants) and selphies.  Brilliant!",2019-04-19T12:39:21Z,0
Wayson Wong,I got bullied for wearing gap,2019-04-16T06:51:56Z,0
David,"Wayson Wong yeah I know some kids that got bullied, but that was when your kids as an adult it’s different.",2019-04-23T07:55:22Z,0
M.A. Arch,I LOVE The GAP!,2019-04-13T20:05:09Z,0
Son Quatsch,@ 2:09  uh mmmm.,2019-04-08T16:32:26Z,0
FOUR CORNERS COFFEE,they need KANYE WEST on deck !!!!!,2019-04-07T21:42:30Z,4
2HootHoot,I get all my GAP sweaters from the thrift store,2019-04-07T04:43:46Z,8
DetraxYT,they should rename themselve to Zip,2019-04-06T12:48:15Z,0
Malika B.,"They need to add more color to their clothing.  Everything is jean, khaki, white, black, navy, and the occasional red. These stores speak boring when you pass by......",2019-04-05T07:40:08Z,0
alan 777,Over price brand fake sell that's why you fell....,2019-04-04T15:51:48Z,0
Emma Joseph,well today u hv to moove with the time make clothes more relevant even for older generation no 1 wants  to be stuk with d same old boxy insuple boxy materials.& please nooo loggos as big as a bridge.i remember when i bought 100% silk cashmeer & cotton clothes @ reasonable price from Gaap hard to beleive but now i go around d shop & say nope nothing 4 me hr.,2019-04-04T09:32:53Z,0
iambackwithabang,"""they arent trying to explore the Indian market. ""
i have been using Levis since i was a lil kid. and im 32 now.but i started using Gap only when my brother went to the US in 2010 and have been using it till now.and my baby is clothed in Baby Gap,Old Navy and i use Banana Republic as well. but frankly all of them were brought by my brother in truck loads for me and later on for my kid from the US.
instead,growing up, Levis was always available in India and still continues to have stores even in small towns in India.
you can hardly find GAP or Baby Gap or Old Navy or Banana Republic stores even in big malls/clothing department stores in India. maybe in a few high end stores may have it.but thats far and few.
but unlike Gap-- Levis,Wrangler,Nike,Adidas & even UCB have a strong presence in metro cities, cities and small town shops(which keep a few pieces just in case a customer needs it) in India.
pretending to be a premier brand when ur cloth quality is almost the same(i mean gap and old navy and some banana republic pieces have the same fabrics and designs) and not promoting agressively in an emerging market like India is one of GAP Incs biggest mistakes.
btw : I have bought several Baby Gap pieces on Amazon India. but havent ever seen a single GAP store in a tier 2 or tier 3 city near me.",2019-04-02T01:59:59Z,1
Megan C.,"GAP needs to stop selling sweatshirts and tees with GAP all over them. I don't like having brand names all over my clothes.... I like them to look classy and chic. Also, my city only has an Old Navy store (we don't have a B&M GAP or Athleta....we have a GAP outlet, though) and what's nice is that if I buy online from Old Navy, I can return to my local store OR mail in my return which makes returns hassle free. Since I'm tall, I mostly wear Old Navy as their clothes come in tall sizes and are affordable and don't have OLD NAVY written all over them. They sell Old Navy logo tees and sweatshirts it's not all that they sell.",2019-04-01T13:13:55Z,0
Bruno Seibert,lower quality.. less sales.,2019-04-01T12:42:12Z,0
Jon Taylor,Rise and fall of Reebok?,2019-04-01T12:15:28Z,0
Frosticious,2:08 That man is gifted.,2019-04-01T09:12:32Z,0
T J,guys can u cool it with the background music please,2019-03-31T19:23:23Z,0
Marcus Aurelius,"GAP has good basics, good for adding basics
-- but its fit is not quite right
-- the price is a bit much
-- much better styling than old navy
-- their chinos are excellent",2019-03-31T18:22:58Z,8
redmotherfive,"Once the stock price is the focus, it’s pretty much all over for the business.",2019-03-31T13:08:58Z,9
comment,Yep. But that's the name of the game for most businesses these days.,2019-10-13T02:55:06Z,0
BearMugs,GAP just lost what they had in the 80's. They need to keep up otherwise they will lose out. They have lost already. I think Old Navy was a big help but not necessarily a good thing because GAP inc was supplying 3 demographics. I believe that was one of their other flaws. Mostly not keeping up with fashion trends and sticking to what got them so big but also Banana Republic and Old Navy were holding them down. Old Navy was carrying 2 companies on it's back. But it's sort of a cycle of buying a small company that does well for a bit before the fashion changes. That's what happened  to GAP  and in a few years Athleta and Hill City.,2019-03-31T10:27:04Z,0
Shirley Ortiz,"OmG! Target is way better than Gap!!! Same pants, better styles. Even my billionaire boss shops for everything at Target, JCrew, and Banana R! Gap close down, please!",2019-03-30T19:50:54Z,0
nerdypinkglasses,I only shop at old navy bc i can actually afford their clothes. They have great sales and stylish options. I shop at the thrift stores for Gap.,2019-03-30T15:17:57Z,1
G L,One can better quality clothing at thrift stores for better prices. Just saying.,2019-03-30T04:14:00Z,0
Stranded NYer,"Lots of ""blah blah blah"" to say ""The Gap is no longer popular because tastes changed.""",2019-03-30T02:38:55Z,0
Fred Flintstone,"Junk, junk, junk.  Why do people buy this junk?",2019-03-29T23:15:52Z,1
David Thompson,"Ugh, the narrator sounds like a bot.  Why can't people read with a little modulation in their voice",2019-03-29T11:18:58Z,0
Velo1010,Overpriced products from third world countries. I was a fan of The Gap and Banana for a long time. Then I noticed the price creep.,2019-03-29T07:55:23Z,0
Deplorable,"Baby gap was so much better before, as soon as our kids got over the age, we never went yo GAP, didn't appe to us as baby gap, GAP clothes are a walking ad, why would I wear they logo huge on me, and don't put it on my kids. Plus the prices are not low either.",2019-03-29T06:19:21Z,0
serialkilla23,Keep making same stuff n never changing ...dinosaurs business model..,2019-03-29T01:36:04Z,0
Cole Bunker,"""be better than the gap""- ryan gosling",2019-03-28T11:46:02Z,0
Vanessa Raab,"Honestly yes gap is basic, but you can literally wear it 10 years from now. I have some gap jeans that I bought 10 years ago and they still look modern and the T-shirt’s as well. I mean basic clothes are an essential for a long time.",2019-03-28T09:15:46Z,2
Birdie R,"The quality is not equivalent to the price...it used to be pretty high quality,  but now the clothes feel like they are from Walmart...not even Target,  but Walmart. I still have clothes I bought 10-15 years ago from the Gap and they are still in good shape. Nothing I could buy there now could last that long anymore!",2019-03-28T05:32:59Z,1
nana,"nobody wants to be a walking billboard anymore! it’s almost like our generation shuns defining ourselves by boring mainstream brands. gap’s days as the cool kid’s brand are over, and their clothes are super overpriced. i only ever pop in there black friday, and even that’s a stretch sometimes",2019-03-28T02:04:03Z,0
elmaestroco,"""Be better than the Gap""... J.P.",2019-03-28T00:14:34Z,0
