Name,Comment,Time,Likes
PLOCTRDR,emma chamberlain and depop sellers watching this 👁👄👁,2021-01-02T16:34:17Z,1
YelloFello15,Basic AF and overpriced,2021-01-01T05:47:10Z,0
59jlopez70,It used to be a Jean store that also sold records back then buy now it’s just a store that sales plain and boring clothes for a expensive price I would just go to old navy.  Besides they been in trouble way before covid,2020-12-31T09:59:46Z,0
Kimberly Perrotis,"Old Navy has very consistent sizing, unlike most brands at this price level, but shopping at its stores is miserable.  They don’t use air conditioning, the stores are crowded and messy, there are huge lines for dressing rooms and having different cashiering stations (or even just wandering employees with handheld scanners) for different payment methods and functions (cash, credit card, Old Navy credit cards only, returns).  Around 2018, my local store removed all cashiering stations, and customers had to find employees, who were busy with other tasks, apparently, who looked confused when asked to do a sale or return.  Gap and Banana Republic seem overpriced and have limited selections.  For example, in 2019, none of the three brands carried a women’s T-shirt in navy blue; it was, apparently, not an on-trend color.  These shops sell inexpensive basics, they should always have a good range of basic colors, not just the colors-of-the-moment.",2020-12-29T20:24:06Z,0
Kimberly Perrotis,"I shopped at “The Gap”, the original San Francisco store, as a teenager in the early-mid 1970s.  It had the best selection of Levi’s jeans anywhere.",2020-12-29T20:12:34Z,0
Original Unoriginal,"I went GAP years ago, U only saw bootcut jeans, baggy jeans. Their collection is not quite upto date particularly mens selection.",2020-12-18T00:35:48Z,0
Everett Rubio,The rise and fall and rise of GAP.,2020-12-14T04:23:14Z,4
Ruby Morris,After working in their warehouse...I no longer support this brand.,2020-12-12T23:26:43Z,0
BigLeafJo3,Gap is thriving😂,2020-12-12T18:43:22Z,0
Miss Peafairy,We up again📈 Yeezy Gap,2020-12-05T13:16:55Z,3
Ashton ASMR,Gap's clothing is boring and the quality isn't the same as it used to be. Their new clothing gets ruined after a couple of washes. The logo is annoying because its everywhere.,2020-11-30T18:52:33Z,1
Tsabina Padmavati Putri,the only way for gap to  find its mistakesis by listening to consumers criticism and adapt to the trends,2020-11-30T07:31:21Z,0
